tempo_min,sensorId,latitude,longitude,vazao,status,pH,DQO,OD,turbidez,temperatura,coliformes,ecoli,H2S,amonia,qualidade
0.00,SENSOR_000,-23.500000,-46.600000,129.60,NORMAL,7.16,205.59,2.42,951.72,18.57,2000,998,1.08,2.24,RUIM
0.00,SENSOR_001,-23.490000,-46.590000,143.15,NORMAL,7.38,491.17,1.88,733.72,23.57,1073,192,1.65,0.63,RUIM
0.00,SENSOR_002,-23.480000,-46.580000,159.52,NORMAL,7.09,378.72,3.93,141.15,19.71,1563,834,1.23,2.02,MODERADA
0.00,SENSOR_003,-23.470000,-46.570000,171.78,NORMAL,7.70,574.65,1.62,722.88,28.31,2309,619,0.45,2.79,RUIM
0.00,SENSOR_004,-23.460000,-46.560000,182.30,NORMAL,7.41,295.62,2.03,715.47,19.45,911,1071,1.51,1.94,RUIM
0.00,SENSOR_005,-23.450000,-46.550000,228.33,NORMAL,8.09,459.46,1.92,357.11,23.12,1623,975,1.86,1.54,RUIM
0.00,SENSOR_006,-23.440000,-46.540000,219.62,NORMAL,7.83,596.28,4.49,901.55,22.12,828,1041,0.01,1.89,RUIM
0.00,SENSOR_007,-23.430000,-46.530000,261.19,NORMAL,7.31,264.74,1.13,692.12,31.09,1603,568,0.76,4.48,RUIM
1.00,SENSOR_000,-23.500000,-46.600000,128.28,NORMAL,7.47,429.10,1.43,554.03,25.90,2289,235,0.40,2.89,RUIM
1.00,SENSOR_001,-23.490000,-46.590000,143.27,NORMAL,8.25,272.65,4.23,412.94,24.66,739,118,1.72,1.25,RUIM
1.00,SENSOR_002,-23.480000,-46.580000,164.73,NORMAL,7.21,361.49,2.84,195.13,19.76,2500,1040,1.50,0.86,RUIM
1.00,SENSOR_003,-23.470000,-46.570000,183.22,NORMAL,6.91,314.71,2.10,688.17,20.81,2373,395,0.43,1.39,RUIM
1.00,SENSOR_004,-23.460000,-46.560000,210.44,NORMAL,6.84,346.78,5.00,566.64,21.35,2169,1066,0.67,2.63,RUIM
1.00,SENSOR_005,-23.450000,-46.550000,202.38,NORMAL,6.97,385.48,1.81,163.69,22.04,2198,318,0.45,2.42,RUIM
1.00,SENSOR_006,-23.440000,-46.540000,228.33,NORMAL,8.29,239.68,2.15,125.40,21.88,2039,234,1.70,1.89,RUIM
1.00,SENSOR_007,-23.430000,-46.530000,252.88,NORMAL,7.59,217.02,2.58,985.90,29.51,2041,119,1.95,2.28,RUIM
2.00,SENSOR_000,-23.500000,-46.600000,122.37,NORMAL,7.97,457.58,1.98,201.85,32.36,599,589,0.82,2.20,RUIM
2.00,SENSOR_001,-23.490000,-46.590000,139.14,NORMAL,7.11,383.27,4.66,894.89,21.83,683,103,1.85,0.88,RUIM
2.00,SENSOR_002,-23.480000,-46.580000,149.34,NORMAL,7.63,381.58,1.16,252.78,30.35,824,112,1.24,4.25,RUIM
2.00,SENSOR_003,-23.470000,-46.570000,46.14,ENTUPIMENTO,6.52,457.51,4.42,77.86,26.43,905,381,1.47,1.45,MODERADA
2.00,SENSOR_004,-23.460000,-46.560000,201.22,NORMAL,7.53,464.45,1.90,581.80,24.65,1872,1016,1.98,3.46,RUIM
2.00,SENSOR_005,-23.450000,-46.550000,198.60,NORMAL,8.12,579.75,4.41,869.30,26.12,961,277,0.43,4.23,RUIM
2.00,SENSOR_006,-23.440000,-46.540000,227.29,NORMAL,6.82,536.86,1.42,753.29,30.29,1433,840,1.77,2.27,RUIM
2.00,SENSOR_007,-23.430000,-46.530000,255.92,NORMAL,8.27,484.08,4.00,196.10,19.56,559,443,1.67,3.47,RUIM
0.00,SENSOR_000,-23.500000,-46.600000,112.88,NORMAL,7.67,452.01,2.73,823.71,26.00,2114,1049,1.48,1.63,RUIM
0.00,SENSOR_001,-23.490000,-46.590000,129.41,NORMAL,7.61,279.81,4.87,262.48,21.83,1987,423,0.88,1.58,MODERADA
0.00,SENSOR_002,-23.480000,-46.580000,168.63,NORMAL,8.17,534.69,4.56,432.50,28.70,1055,810,0.02,2.07,RUIM
0.00,SENSOR_003,-23.470000,-46.570000,184.63,NORMAL,8.03,428.33,3.37,271.84,21.00,1417,486,0.31,3.44,MODERADA
0.00,SENSOR_004,-23.460000,-46.560000,45.36,ENTUPIMENTO,8.20,356.49,2.71,612.51,24.43,907,234,1.32,2.17,MODERADA
0.00,SENSOR_005,-23.450000,-46.550000,221.86,NORMAL,6.71,364.26,3.75,876.25,27.85,1758,853,1.84,0.56,RUIM
0.00,SENSOR_006,-23.440000,-46.540000,237.54,NORMAL,7.40,462.41,3.11,351.85,25.46,1558,935,1.77,2.74,RUIM
0.00,SENSOR_007,-23.430000,-46.530000,249.68,NORMAL,7.04,464.98,3.72,927.47,20.47,1178,480,0.91,1.43,RUIM
1.00,SENSOR_000,-23.500000,-46.600000,111.41,NORMAL,6.76,439.32,4.47,515.20,22.11,1358,685,1.92,2.31,RUIM
1.00,SENSOR_001,-23.490000,-46.590000,156.65,NORMAL,7.67,440.72,3.91,895.77,31.59,1561,883,0.00,4.18,RUIM
1.00,SENSOR_002,-23.480000,-46.580000,168.06,NORMAL,7.78,365.20,2.93,504.42,24.75,1717,1052,1.76,1.96,RUIM
1.00,SENSOR_003,-23.470000,-46.570000,165.74,NORMAL,7.72,313.58,3.19,305.07,20.43,660,1042,1.18,4.96,RUIM
1.00,SENSOR_004,-23.460000,-46.560000,192.56,NORMAL,7.13,365.73,3.34,588.52,30.46,1187,880,1.52,1.31,RUIM
1.00,SENSOR_005,-23.450000,-46.550000,219.20,NORMAL,8.01,233.02,4.99,146.04,31.70,1323,1011,0.40,0.93,MODERADA
1.00,SENSOR_006,-23.440000,-46.540000,237.78,NORMAL,6.72,252.56,2.89,70.69,28.69,1804,449,0.18,4.43,RUIM
1.00,SENSOR_007,-23.430000,-46.530000,260.45,NORMAL,7.17,221.87,2.52,975.67,30.70,1208,241,0.33,2.07,RUIM
2.00,SENSOR_000,-23.500000,-46.600000,123.55,NORMAL,7.65,431.66,3.22,697.90,31.63,1694,993,0.70,1.14,MODERADA
2.00,SENSOR_001,-23.490000,-46.590000,141.36,NORMAL,7.52,481.34,2.04,681.20,30.02,2054,628,0.92,2.10,RUIM
2.00,SENSOR_002,-23.480000,-46.580000,151.86,NORMAL,7.97,564.11,3.46,735.48,29.95,1083,1074,1.49,1.06,RUIM
2.00,SENSOR_003,-23.470000,-46.570000,181.87,NORMAL,7.78,419.80,2.28,185.80,25.54,1917,851,1.79,4.02,RUIM
2.00,SENSOR_004,-23.460000,-46.560000,181.75,NORMAL,7.32,383.66,1.70,440.86,31.93,1586,489,1.73,2.10,RUIM
2.00,SENSOR_005,-23.450000,-46.550000,225.45,NORMAL,8.04,336.10,2.15,304.84,25.52,1909,854,1.54,1.88,RUIM
2.00,SENSOR_006,-23.440000,-46.540000,224.64,NORMAL,7.29,476.33,4.20,812.78,31.16,1521,1028,1.62,3.31,RUIM
2.00,SENSOR_007,-23.430000,-46.530000,245.04,NORMAL,8.37,594.76,2.41,79.19,21.38,2243,987,1.70,2.93,RUIM
3.00,SENSOR_000,-23.500000,-46.600000,111.45,NORMAL,7.37,497.96,4.19,664.13,22.63,1082,814,0.09,1.96,MODERADA
